AED,United Arab Emirates Dirham,Eurasian currencies
AFN,Afghanistan Afghani,Eurasian currencies
ALL,Albania Lek,Eurasian currencies
AMD,Armenia Dram,Eurasian currencies
ANG,Netherlands Antilles Guilder,NULL
AOA,Angola Kwanza,African currencies
ARS,Argentina Peso,Latin American currencies
AUD,Australia Dollar,Oceanian currencies
AWG,Aruba Guilder,NULL
AZN,Azerbaijan New Manat,Eurasian currencies
BAM,Bosnia and Herzegovina Convertible Marka,Eurasian currencies
BBD,Barbados Dollar,Latin American currencies
BDT,Bangladesh Taka,Eurasian currencies
BGN,Bulgaria Lev,Eurasian currencies
BHD,Bahrain Dinar,Eurasian currencies
BIF,Burundi Franc,African currencies
BMD,Bermuda Dollar,NULL
BND,Brunei Darussalam Dollar,Latin American currencies
BOB,Bolivia Boliviano,Latin American currencies
BRL,Brazil Real,BRIC
BSD,Bahamas Dollar,Latin American currencies
BTN,Bhutan Ngultrum,Eurasian currencies
BWP,Botswana Pula,African currencies
BYR,Belarus Ruble,Eurasian currencies
BZD,Belize Dollar,Latin American currencies
CAD,Canada Dollar,CAD
CDF,Congo/Kinshasa Franc,African currencies
CHF,Switzerland Franc,CHF
CLP,Chile Peso,Latin American currencies
CNY,China Yuan Renminbi,BRIC
COP,Colombia Peso,Latin American currencies
CRC,Costa Rica Colon,Latin American currencies
CUC,Cuba Convertible Peso,NULL
CUP,Cuba Peso,Latin American currencies
CVE,Cape Verde Escudo,African currencies
CZK,Czech Republic Koruna,Eurasian currencies
DEM  ,EY_UNKNOWN (DEM  ),EY_NA
DJF,Djibouti Franc,African currencies
DKK,Denmark Krone,Eurasian currencies
DOP,Dominican Republic Peso,Latin American currencies
DZD,Algeria Dinar,African currencies
EGP,Egypt Pound,African currencies
ERN,Eritrea Nakfa,African currencies
ETB,Ethiopia Birr,African currencies
EUR,Euro Member Countries,EUROZONE
EY_NA,Not Applicable,EY_NA
FJD,Fiji Dollar,Oceanian currencies
FKP,Falkland Islands (Malvinas) Pound,NULL
FRF  ,EY_UNKNOWN (FRF  ),EY_NA
GBP,United Kingdom Pound,GBP
GEL,Georgia Lari,Eurasian currencies
GGP,Guernsey Pound,NULL
GHS,Ghana Cedi,African currencies
GIP,Gibraltar Pound,NULL
GMD,Gambia Dalasi,African currencies
GNF,Guinea Franc,African currencies
GRD,EY_Unknown (GRD),Unknown
GTQ,Guatemala Quetzal,Latin American currencies
GYD,Guyana Dollar,Latin American currencies
HKD,Hong Kong Dollar,BRIC
HNL,Honduras Lempira,Latin American currencies
HRK,Croatia Kuna,Eurasian currencies
HTG,Haiti Gourde,Latin American currencies
HUF,Hungary Forint,Eurasian currencies
IDR,Indonesia Rupiah,Eurasian currencies
ILS,Israel Shekel,Eurasian currencies
IMP,Isle of Man Pound,NULL
INR,India Rupee,BRIC
IQD,Iraq Dinar,Eurasian currencies
IRR,Iran Rial,Eurasian currencies
ISK,Iceland Krona,Eurasian currencies
JEP,Jersey Pound,NULL
JMD,Jamaica Dollar,Latin American currencies
JOD,Jordan Dinar,Eurasian currencies
JPY,Japan Yen,JPY
KES,Kenya Shilling,African currencies
KGS,Kyrgyzstan Som,Eurasian currencies
KHR,Cambodia Riel,Eurasian currencies
KMF,Comoros Franc,African currencies
KPW,Korea (North) Won,Eurasian currencies
KRW,Korea (South) Won,Eurasian currencies
KWD,Kuwait Dinar,Eurasian currencies
KYD,Cayman Islands Dollar,NULL
KZT,Kazakhstan Tenge,Eurasian currencies
LAK,Laos Kip,Eurasian currencies
LBP,Lebanon Pound,Eurasian currencies
