period_id,bu_id,engagement_id,fiscal_period_cd,fiscal_period_desc,fiscal_period_seq,fiscal_period_start,fiscal_period_end,fiscal_quarter_cd,fiscal_quarter_desc,fiscal_quarter_start,fiscal_quarter_end,fiscal_year_cd,fiscal_year_desc,fiscal_year_start,fiscal_year_end,adjustment_period,ver_start_date_id,ver_end_date_id,ver_desc
0,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,EY_EMPTY,EY_EMPTY,NULL,19000101,19000101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N,20141115,NULL,EY_DEF_VALUE_ETL_STAGE
1,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-001,2006-001,1,20060101,20060131,2006-Q1,2006-Q1,20060101,20060331,2006,2006,20060101,20061231,N,20141115,NULL,20141115
2,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-002,2006-002,2,20060201,20060228,2006-Q1,2006-Q1,20060101,20060331,2006,2006,20060101,20061231,N,20141115,NULL,20141115
3,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-003,2006-003,3,20060301,20060331,2006-Q1,2006-Q1,20060101,20060331,2006,2006,20060101,20061231,N,20141115,NULL,20141115
4,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-004,2006-004,4,20060401,20060430,2006-Q2,2006-Q2,20060401,20060630,2006,2006,20060101,20061231,N,20141115,NULL,20141115
5,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-005,2006-005,5,20060501,20060531,2006-Q2,2006-Q2,20060401,20060630,2006,2006,20060101,20061231,N,20141115,NULL,20141115
6,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-006,2006-006,6,20060601,20060630,2006-Q2,2006-Q2,20060401,20060630,2006,2006,20060101,20061231,N,20141115,NULL,20141115
7,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-007,2006-007,7,20060701,20060731,2006-Q3,2006-Q3,20060701,20060930,2006,2006,20060101,20061231,N,20141115,NULL,20141115
8,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-008,2006-008,8,20060801,20060831,2006-Q3,2006-Q3,20060701,20060930,2006,2006,20060101,20061231,N,20141115,NULL,20141115
9,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-009,2006-009,9,20060901,20060930,2006-Q3,2006-Q3,20060701,20060930,2006,2006,20060101,20061231,N,20141115,NULL,20141115
10,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-010,2006-010,10,20061001,20061031,2006-Q4,2006-Q4,20061001,20061231,2006,2006,20060101,20061231,N,20141115,NULL,20141115
11,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-011,2006-011,11,20061101,20061130,2006-Q4,2006-Q4,20061001,20061231,2006,2006,20060101,20061231,N,20141115,NULL,20141115
12,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-012,2006-012,12,20061201,20061231,2006-Q4,2006-Q4,20061001,20061231,2006,2006,20060101,20061231,N,20141115,NULL,20141115
13,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-013,2006-013,13,20061231,20061231,2006-Q4,2006-Q4,20060930,20061231,2006,2006,20060101,20061231,Y,20141115,NULL,20141115
14,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-014,2006-014,14,20061231,20061231,2006-Q4,2006-Q4,20060930,20061231,2006,2006,20060101,20061231,Y,20141115,NULL,20141115
15,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-015,2006-015,15,20061231,20061231,2006-Q4,2006-Q4,20060930,20061231,2006,2006,20060101,20061231,Y,20141115,NULL,20141115
16,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2006-016,2006-016,16,20061231,20061231,2006-Q4,2006-Q4,20060930,20061231,2006,2006,20060101,20061231,Y,20141115,NULL,20141115
17,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-001,2007-001,1,20070101,20070131,2007-Q1,2007-Q1,20070101,20070331,2007,2007,20070101,20071231,N,20141115,NULL,20141115
18,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-002,2007-002,2,20070201,20070228,2007-Q1,2007-Q1,20070101,20070331,2007,2007,20070101,20071231,N,20141115,NULL,20141115
19,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-003,2007-003,3,20070301,20070331,2007-Q1,2007-Q1,20070101,20070331,2007,2007,20070101,20071231,N,20141115,NULL,20141115
20,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-004,2007-004,4,20070401,20070430,2007-Q2,2007-Q2,20070401,20070630,2007,2007,20070101,20071231,N,20141115,NULL,20141115
21,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-005,2007-005,5,20070501,20070531,2007-Q2,2007-Q2,20070401,20070630,2007,2007,20070101,20071231,N,20141115,NULL,20141115
22,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-006,2007-006,6,20070601,20070630,2007-Q2,2007-Q2,20070401,20070630,2007,2007,20070101,20071231,N,20141115,NULL,20141115
23,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-007,2007-007,7,20070701,20070731,2007-Q3,2007-Q3,20070701,20070930,2007,2007,20070101,20071231,N,20141115,NULL,20141115
24,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-008,2007-008,8,20070801,20070831,2007-Q3,2007-Q3,20070701,20070930,2007,2007,20070101,20071231,N,20141115,NULL,20141115
25,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-009,2007-009,9,20070901,20070930,2007-Q3,2007-Q3,20070701,20070930,2007,2007,20070101,20071231,N,20141115,NULL,20141115
26,1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2007-010,2007-010,10,20071001,20071031,2007-Q4,2007-Q4,20071001,20071231,2007,2007,20070101,20071231,N,20141115,NULL,20141115
