0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,EY_EMPTY,EY_EMPTY,EY empty,20141115,NULL,EY_DEF_VALUE_ETL_STAGE
1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,RT HOLDING-0030,Description0030,Seg2_Group 1,20141115,NULL,20141115
2,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,RT HOLDING-0020,Description0020,Seg2_Group 1,20141115,NULL,20141115
3,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,RT HOLDING-0010,Description0010,Seg2_Group 1,20141115,NULL,20141115
4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,RT GROUP-0030,Description0030,Seg2_Group 1,20141115,NULL,20141115
5,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,RT GROUP-0020,Description0020,Seg2_Group 1,20141115,NULL,20141115
6,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,RT GROUP-0010,Description0010,Seg2_Group 1,20141115,NULL,20141115
7,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ROMANIA-0030,Description0030,Seg2_Group 1,20141115,NULL,20141115
8,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ROMANIA-0020,Description0020,Seg2_Group 1,20141115,NULL,20141115
9,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ROMANIA-0010,Description0010,Seg2_Group 1,20141115,NULL,20141115
10,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,PIONEER-0020,Description0020,Seg2_Group 1,20141115,NULL,20141115
11,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,MALAYSIA-0030,Description0030,Seg2_Group 1,20141115,NULL,20141115
12,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,MALAYSIA-0020,Description0020,Seg2_Group 1,20141115,NULL,20141115
13,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,MALAYSIA-0010,Description0010,Seg2_Group 1,20141115,NULL,20141115
14,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,LUCTRON-0010,Description0010,Seg2_Group 1,20141115,NULL,20141115
15,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,HOLDING-0010,Description0010,Seg2_Group 1,20141115,NULL,20141115
16,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,HEATING-0030,Description0030,Seg2_Group 1,20141115,NULL,20141115
17,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,HEATING-0020,Description0020,Seg2_Group 1,20141115,NULL,20141115
18,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,HEATING-0010,Description0010,Seg2_Group 1,20141115,NULL,20141115
19,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,GROUP-0010,Description0010,Seg2_Group 1,20141115,NULL,20141115
20,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,COMPONENTS-0040,Description0040,Seg2_Group 1,20141115,NULL,20141115
21,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ALUCAST-0040,Description0040,Seg2_Group 1,20141115,NULL,20141115
22,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ALUCAST-0030,Description0030,Seg2_Group 1,20141115,NULL,20141115
23,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ALUCAST-0020,Description0020,Seg2_Group 1,20141115,NULL,20141115
24,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ALUCAST-0010,Description0010,Seg2_Group 1,20141115,NULL,20141115
25,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,-,EY_UNKNOWN (-),<DEFAULT>,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
26,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,-10,EY_UNKNOWN (-0010),<DEFAULT>,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
27,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,-20,EY_UNKNOWN (-0020),<DEFAULT>,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
28,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,-30,EY_UNKNOWN (-0030),<DEFAULT>,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
29,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,-40,EY_UNKNOWN (-0040),<DEFAULT>,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
