segment_id,engagement_id,segment_cd,segment_desc,ey_segment_group,ver_start_date_id,ver_end_date_id,ver_desc
0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,EY_EMPTY,EY_EMPTY,EY empty,20141115,NULL,EY_DEF_VALUE_ETL_STAGE
1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,1,Name 10001,Seg4_Group 1,20141115,NULL,20141115
2,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,10,Name 10010,Seg4_Group 1,20141115,NULL,20141115
3,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,11,Name 10011,Seg4_Group 1,20141115,NULL,20141115
4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,12,Name 10012,Seg4_Group 1,20141115,NULL,20141115
5,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,13,Name 10013,Seg4_Group 1,20141115,NULL,20141115
6,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,14,Name 10014,Seg4_Group 1,20141115,NULL,20141115
7,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,15,Name 10015,Seg4_Group 1,20141115,NULL,20141115
8,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,16,Name 10016,Seg4_Group 1,20141115,NULL,20141115
9,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,19,Name 10019,Seg4_Group 1,20141115,NULL,20141115
10,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,20,Name 10020,Seg4_Group 1,20141115,NULL,20141115
11,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,25,Name 10025,Seg4_Group 1,20141115,NULL,20141115
12,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,30,Name 10030,Seg4_Group 1,20141115,NULL,20141115
13,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,31,Name 10031,Seg4_Group 1,20141115,NULL,20141115
14,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,40,Name 10040,Seg4_Group 1,20141115,NULL,20141115
15,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,50,Name 10050,Seg4_Group 1,20141115,NULL,20141115
