0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,EY_EMPTY,EY_EMPTY_SOURCE_CODE,EY empty,NULL,NULL,NULL,NULL,20141115,NULL,EY_DEF_VALUE_ETL_STAGE
1,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,AA,DescriptionAA,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
2,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,AB,DescriptionAB,Memo 1,NULL,NULL,NULL,NULL,20141115,NULL,20141115
3,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,AF,DescriptionAF,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
4,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,AN,DescriptionAN,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
5,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,DA,DescriptionDA,OTC,NULL,NULL,NULL,NULL,20141115,NULL,20141115
6,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,DG,DescriptionDG,Debiteur - creditnota,NULL,NULL,NULL,NULL,20141115,NULL,20141115
7,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,DR,DescriptionDR,OTC,NULL,NULL,NULL,NULL,20141115,NULL,20141115
8,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,DZ,DescriptionDZ,OTC,NULL,NULL,NULL,NULL,20141115,NULL,20141115
9,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,EX,DescriptionEX,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
10,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,KA,DescriptionKA,PTP,NULL,NULL,NULL,NULL,20141115,NULL,20141115
11,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,KG,DescriptionKG,Crediteur - creditnota,NULL,NULL,NULL,NULL,20141115,NULL,20141115
12,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,KN,DescriptionKN,PTP,NULL,NULL,NULL,NULL,20141115,NULL,20141115
13,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,KP,DescriptionKP,PTP,NULL,NULL,NULL,NULL,20141115,NULL,20141115
14,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,KR,DescriptionKR,PTP,NULL,NULL,NULL,NULL,20141115,NULL,20141115
15,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,KZ,DescriptionKZ,PTP,NULL,NULL,NULL,NULL,20141115,NULL,20141115
16,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ML,DescriptionML,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
17,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,PR,DescriptionPR,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
18,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,RA,DescriptionRA,OTC,NULL,NULL,NULL,NULL,20141115,NULL,20141115
19,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,RE,DescriptionRE,OTC,NULL,NULL,NULL,NULL,20141115,NULL,20141115
20,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,RN,DescriptionRN,OTC,NULL,NULL,NULL,NULL,20141115,NULL,20141115
21,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,RV,DescriptionRV,OTC,NULL,NULL,NULL,NULL,20141115,NULL,20141115
22,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,SA,DescriptionSA,Memo 2 ,NULL,NULL,NULL,NULL,20141115,NULL,20141115
23,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,SB,DescriptionSB,Memo 3,NULL,NULL,NULL,NULL,20141115,NULL,20141115
24,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,SK,DescriptionSK,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
25,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,SU,DescriptionSU,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
26,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,TN,DescriptionTN,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
27,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,WA,DescriptionWA,OTC,NULL,NULL,NULL,NULL,20141115,NULL,20141115
28,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,WE,DescriptionWE,PTP,NULL,NULL,NULL,NULL,20141115,NULL,20141115
29,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,WI,DescriptionWI,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
30,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,WL,DescriptionWL,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
31,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,WN,DescriptionWN,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
32,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,WS,DescriptionWS,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
33,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ZP,DescriptionZP,Betaling / ontvangst,NULL,NULL,NULL,NULL,20141115,NULL,20141115
34,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ZR,DescriptionZR,Memo 4 ,NULL,NULL,NULL,NULL,20141115,NULL,20141115
35,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ZT,DescriptionZT,All,NULL,NULL,NULL,NULL,20141115,NULL,20141115
36,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ZV,DescriptionZV,Betaling / ontvangst,NULL,NULL,NULL,NULL,20141115,NULL,20141115
