Coa_id,bu_id,coa_effective_date_id,gl_account_cd,gl_subacct_cd,gl_account_name,gl_subacct_name,consolidation_account,ey_gl_account_name,ey_account_type,ey_account_sub_type,ey_account_class,ey_account_sub_class,ey_account_group_I,ey_account_group_II,ey_cash_activity,ey_index,ey_sub_index,created_by_id,created_date_id,created_time_id,last_modified_by_id,last_modified_date_id,ver_desc,ver_start_date_id,ver_end_date_id
0,0,19000101,EY_EMPTY,EY_EMPTY,EY_EMPTY,EY_EMPTY,NULL,EY_EMPTY - EY_EMPTY,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,0,19000101,0,0,19000101,EY_DEF_VALUE_ETL_STAGE,20141115,NULL
1,14,19931208,100,NULL,Long Text0000000100,NULL,,0000000100 - Long Text0000000100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931208,0,29,19931208,20141115,20141115,NULL
2,14,19920623,41000,NULL,Long Text0000041000,NULL,,0000041000 - Long Text0000041000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
3,14,19920623,62000,NULL,Long Text0000062000,NULL,,0000062000 - Long Text0000062000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
4,14,19920623,72000,NULL,Long Text0000072000,NULL,,0000072000 - Long Text0000072000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
5,14,19931207,168700,NULL,Long Text0000168700,NULL,,0000168700 - Long Text0000168700,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931207,0,29,19931207,20141115,20141115,NULL
6,14,19920623,173000,NULL,Long Text0000173000,NULL,,0000173000 - Long Text0000173000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
7,14,19920623,176000,NULL,Long Text0000176000,NULL,,0000176000 - Long Text0000176000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
8,14,19920623,200000,NULL,Long Text0000200000,NULL,,0000200000 - Long Text0000200000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
9,14,19931216,230090,NULL,Long Text0000230090,NULL,,0000230090 - Long Text0000230090,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931216,0,29,19931216,20141115,20141115,NULL
10,14,19931207,281100,NULL,Long Text0000281100,NULL,,0000281100 - Long Text0000281100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931207,0,29,19931207,20141115,20141115,NULL
11,14,19920623,309000,NULL,Long Text0000309000,NULL,,0000309000 - Long Text0000309000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
12,14,19931215,310010,NULL,Long Text0000310010,NULL,,0000310010 - Long Text0000310010,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931215,0,29,19931215,20141115,20141115,NULL
13,14,19920623,319000,NULL,Long Text0000319000,NULL,,0000319000 - Long Text0000319000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
14,14,19920623,340000,NULL,Long Text0000340000,NULL,,0000340000 - Long Text0000340000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
15,14,19931216,400080,NULL,Long Text0000400080,NULL,,0000400080 - Long Text0000400080,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931216,0,29,19931216,20141115,20141115,NULL
16,14,19931207,404000,NULL,Long Text0000404000,NULL,,0000404000 - Long Text0000404000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931207,0,29,19931207,20141115,20141115,NULL
17,14,19931207,406000,NULL,Long Text0000406000,NULL,,0000406000 - Long Text0000406000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931207,0,29,19931207,20141115,20141115,NULL
18,14,19931207,409000,NULL,Long Text0000409000,NULL,,0000409000 - Long Text0000409000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931207,0,29,19931207,20141115,20141115,NULL
19,14,19920623,420000,NULL,Long Text0000420000,NULL,,0000420000 - Long Text0000420000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
20,14,19920623,439000,NULL,Long Text0000439000,NULL,,0000439000 - Long Text0000439000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
21,14,19920623,480000,NULL,Long Text0000480000,NULL,,0000480000 - Long Text0000480000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
22,14,19920623,511000,NULL,Long Text0000511000,NULL,,0000511000 - Long Text0000511000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
23,14,19920623,550000,NULL,Long Text0000550000,NULL,,0000550000 - Long Text0000550000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
24,14,19931215,600070,NULL,Long Text0000600070,NULL,,0000600070 - Long Text0000600070,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931215,0,29,19931215,20141115,20141115,NULL
25,14,19931215,609030,NULL,Long Text0000609030,NULL,,0000609030 - Long Text0000609030,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931215,0,29,19931215,20141115,20141115,NULL
26,14,19931215,609060,NULL,Long Text0000609060,NULL,,0000609060 - Long Text0000609060,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931215,0,29,19931215,20141115,20141115,NULL
27,14,19920623,609100,NULL,Long Text0000609100,NULL,,0000609100 - Long Text0000609100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
28,14,19931215,609110,NULL,Long Text0000609110,NULL,,0000609110 - Long Text0000609110,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931215,0,29,19931215,20141115,20141115,NULL
29,14,19931215,609140,NULL,Long Text0000609140,NULL,,0000609140 - Long Text0000609140,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931215,0,29,19931215,20141115,20141115,NULL
30,14,19931215,609490,NULL,Long Text0000609490,NULL,,0000609490 - Long Text0000609490,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931215,0,29,19931215,20141115,20141115,NULL
31,14,19931208,630800,NULL,Long Text0000630800,NULL,,0000630800 - Long Text0000630800,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931208,0,29,19931208,20141115,20141115,NULL
32,14,19920623,635000,NULL,Long Text0000635000,NULL,,0000635000 - Long Text0000635000,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19920623,0,29,19920623,20141115,20141115,NULL
33,14,19931208,650100,NULL,Long Text0000650100,NULL,,0000650100 - Long Text0000650100,NULL,NULL,NULL,NULL,EY empty,EY empty,NULL,NULL,NULL,29,19931208,0,29,19931208,20141115,20141115,NULL
