coa_id,bu_id,source_id,segment1_id,segment2_id,user_listing_id,approved_by_id,year_flag,period_flag,EY_period,journal_type,reporting_curr_cd,functional_curr_cd,source_type,current_amount,prior_amount,count_of_je_line_items,count_of_manual_je_lines,manual_amount,manual_functional_amount,count_ofdistinct_preparers,total_debit_activity,largest_line_item,largest_functional_line_item,total_credit_activity,net_reporting_amount,net_reporting_amount_credit,net_reporting_amount_debit,net_functional_amount,net_functional_amount_credit,net_functional_amount_debit,functional_ending_balance,reporting_ending_balance,net_functional_amount_current,net_functional_amount_prior,net_reporting_amount_current,net_reporting_amount_prior
1734,3,3,30,26,13,0,CY,IP,2014-004,Manual,EY_NA,EUR,Activity,-7433.84,0,1,1,-7433.84,-7433.84,1,0,0,7433.84,0,0,0,0,-7433.84,7433.84,0,0,0,-7433.84,0,0,0
1745,5,3,30,26,13,0,CY,IP,2014-002,Manual,EY_NA,EUR,Activity,-242.91,0,1,1,-242.91,-242.91,1,0,0,242.91,0,0,0,0,-242.91,242.91,0,0,0,-242.91,0,0,0
1745,5,3,30,26,13,0,CY,IP,2014-005,Manual,EY_NA,EUR,Activity,-242.91,0,1,1,-242.91,-242.91,1,0,0,242.91,0,0,0,0,-242.91,242.91,0,0,0,-242.91,0,0,0
1751,8,22,32,28,27,0,CY,IP,2014-006,Manual,EY_NA,RON,Activity,-45,0,1,1,-45,-197.81,1,0,0,197.81,0,0,0,0,-197.81,197.81,0,0,0,-197.81,0,0,0
1753,8,34,32,28,27,0,CY,IP,2014-001,Manual,EY_NA,RON,Activity,35300,0,2,2,35300,35300,1,35300,0,33000,0,0,0,0,35300,0,35300,0,0,35300,0,0,0
1753,8,34,32,28,27,0,CY,IP,2014-003,Manual,EY_NA,RON,Activity,40000,0,1,1,40000,40000,1,40000,0,40000,0,0,0,0,40000,0,40000,0,0,40000,0,0,0
1753,8,34,32,28,27,0,CY,IP,2014-006,Manual,EY_NA,RON,Activity,51000,0,1,1,51000,51000,1,51000,0,51000,0,0,0,0,51000,0,51000,0,0,51000,0,0,0
1754,5,22,30,26,13,0,CY,IP,2014-001,Manual,EY_NA,EUR,Activity,-0.91,0,1,1,-0.91,-0.91,1,0,0,0.91,0,0,0,0,-0.91,0.91,0,0,0,-0.91,0,0,0
1754,5,22,30,26,13,0,CY,IP,2014-003,Manual,EY_NA,EUR,Activity,26.68,0,1,1,26.68,26.68,1,26.68,0,26.68,0,0,0,0,26.68,0,26.68,0,0,26.68,0,0,0
1754,5,22,30,26,20,0,CY,IP,2014-006,Manual,EY_NA,EUR,Activity,-50.18,0,1,1,-50.18,-50.18,1,0,0,50.18,0,0,0,0,-50.18,50.18,0,0,0,-50.18,0,0,0
1754,5,33,30,26,20,0,CY,IP,2014-005,Manual,EY_NA,EUR,Activity,-40,0,8,8,-40,-9.11,1,0,0,2.29,0,0,0,0,-9.11,9.11,0,0,0,-9.11,0,0,0
1754,5,34,30,26,20,0,CY,IP,2014-003,Manual,EY_NA,EUR,Activity,164318.27,0,3,3,164318.27,36550,1,164318.27,0,23000,0,0,0,0,36550,0,36550,0,0,36550,0,0,0
1754,5,36,30,26,20,0,CY,IP,2014-005,Manual,EY_NA,EUR,Activity,-734999.78,0,5,5,-734999.78,-166210.66,1,0,0,109851.05,0,0,0,0,-166210.66,166210.66,0,0,0,-166210.66,0,0,0
1756,8,2,32,28,20,0,CY,IP,2014-006,Manual,EY_NA,RON,Activity,10000,0,1,1,10000,43870,1,10000,0,43870,0,0,0,0,43870,0,43870,0,0,43870,0,0,0
1756,8,22,32,28,27,0,CY,IP,2014-002,Manual,EY_NA,RON,Activity,-758.36,0,1,1,-758.36,-758.36,1,0,0,758.36,0,0,0,0,-758.36,758.36,0,0,0,-758.36,0,0,0
1756,8,22,32,28,27,0,CY,IP,2014-004,Manual,EY_NA,RON,Activity,2418.61,0,1,1,2418.61,2418.61,1,2418.61,0,2418.61,0,0,0,0,2418.61,0,2418.61,0,0,2418.61,0,0,0
1756,8,22,32,28,27,0,CY,IP,2014-005,Manual,EY_NA,RON,Activity,22940.42,0,1,1,22940.42,22940.42,1,22940.42,0,22940.42,0,0,0,0,22940.42,0,22940.42,0,0,22940.42,0,0,0
1756,8,33,32,28,27,0,CY,IP,2014-003,Manual,EY_NA,RON,Activity,-30000,0,1,1,-30000,-133542,1,0,0,133542,0,0,0,0,-133542,133542,0,0,0,-133542,0,0,0
1761,5,2,30,26,20,0,CY,IP,2014-004,Manual,EY_NA,EUR,Activity,110000,0,1,1,110000,24442.81,1,110000,0,24442.81,0,0,0,0,24442.81,0,24442.81,0,0,24442.81,0,0,0
1732,6,3,31,27,8,0,CY,IP,2014-004,Manual,EY_NA,MYR,Activity,-1382.61,0,1,1,-1382.61,-1382.61,1,0,0,1382.61,0,0,0,0,-1382.61,1382.61,0,0,0,-1382.61,0,0,0
1737,8,14,32,28,27,0,CY,IP,2014-004,Manual,EY_NA,RON,Activity,5001.06,0,1,1,5001.06,5001.06,1,5001.06,0,5001.06,0,0,0,0,5001.06,0,5001.06,0,0,5001.06,0,0,0
1745,5,3,30,26,13,0,CY,IP,2014-001,Manual,EY_NA,EUR,Activity,-242.9,0,1,1,-242.9,-242.9,1,0,0,242.9,0,0,0,0,-242.9,242.9,0,0,0,-242.9,0,0,0
1745,5,3,30,26,13,0,CY,IP,2014-003,Manual,EY_NA,EUR,Activity,-242.9,0,1,1,-242.9,-242.9,1,0,0,242.9,0,0,0,0,-242.9,242.9,0,0,0,-242.9,0,0,0
1745,5,3,30,26,13,0,CY,IP,2014-006,Manual,EY_NA,EUR,Activity,-242.9,0,1,1,-242.9,-242.9,1,0,0,242.9,0,0,0,0,-242.9,242.9,0,0,0,-242.9,0,0,0
