Metric_B,Metric_Count_B,Period_Type_B,Period_Flag,Column_Name,Start_Date,End_Date
Blank Approver,0,Current,CY,approver_ref,year_start_date,year_end_date
Blank Approver,0,Interim Period,IP,approver_ref,start_date,end_date
Blank Approver,0,Prior,PY,approver_ref,year_start_date,year_end_date
Blank Approver,0,Subsequent,SP,approver_ref,start_date,end_date
Blank Business Units,0,Current,CY,bu_cd,year_start_date,year_end_date
Blank Business Units,0,Interim Period,IP,bu_cd,start_date,end_date
Blank Business Units,0,Prior,PY,bu_cd,year_start_date,year_end_date
Blank Business Units,0,Subsequent,SP,bu_cd,start_date,end_date
Blank Effective Date,0,Current,CY,Effective_Date,year_start_date,year_end_date
Blank Effective Date,0,Interim Period,IP,Effective_Date,start_date,end_date
Blank Effective Date,0,Prior,PY,Effective_Date,year_start_date,year_end_date
Blank Effective Date,0,Subsequent,SP,Effective_Date,start_date,end_date
Blank Entry Date,0,Current,CY,Entry_Date,year_start_date,year_end_date
Blank Entry Date,0,Interim Period,IP,Entry_Date,start_date,end_date
Blank Entry Date,0,Prior,PY,Entry_Date,year_start_date,year_end_date
Blank Entry Date,0,Subsequent,SP,Entry_Date,start_date,end_date
Blank GL Account,0,Current,CY,gl_account_cd,year_start_date,year_end_date
Blank GL Account,0,Interim Period,IP,gl_account_cd,start_date,end_date
Blank GL Account,0,Prior,PY,gl_account_cd,year_start_date,year_end_date
Blank GL Account,0,Subsequent,SP,gl_account_cd,start_date,end_date
Blank GL Account Name,0,Current,CY,gl_account_name,year_start_date,year_end_date
Blank GL Account Name,0,Interim Period,IP,gl_account_name,start_date,end_date
Blank GL Account Name,0,Prior,PY,gl_account_name,year_start_date,year_end_date
Blank GL Account Name,0,Subsequent,SP,gl_account_name,start_date,end_date
Blank Journal Entries,0,Current,CY,je_header_desc,year_start_date,year_end_date
Blank Journal Entries,0,Interim Period,IP,je_header_desc,start_date,end_date
Blank Journal Entries,0,Prior,PY,je_header_desc,year_start_date,year_end_date
Blank Journal Entries,0,Subsequent,SP,je_header_desc,start_date,end_date
Blank Journal Entry Lines,0,Current,CY,je_line_desc,year_start_date,year_end_date
Blank Journal Entry Lines,0,Interim Period,IP,je_line_desc,start_date,end_date
Blank Journal Entry Lines,0,Prior,PY,je_line_desc,year_start_date,year_end_date
Blank Journal Entry Lines,0,Subsequent,SP,je_line_desc,start_date,end_date
Blank Period,0,Current,CY,year_flag_desc,year_start_date,year_end_date
Blank Period,0,Interim Period,IP,year_flag_desc,start_date,end_date
Blank Period,0,Prior,PY,year_flag_desc,year_start_date,year_end_date
Blank Period,0,Subsequent,SP,year_flag_desc,start_date,end_date
Blank Preparer,0,Current,CY,preparer_ref,year_start_date,year_end_date
Blank Preparer,0,Interim Period,IP,preparer_ref,start_date,end_date
Blank Preparer,0,Prior,PY,preparer_ref,year_start_date,year_end_date
Blank Preparer,0,Subsequent,SP,preparer_ref,start_date,end_date
Blank Segment 1,0,Current,CY,segment1_id,year_start_date,year_end_date
Blank Segment 1,0,Interim Period,IP,segment1_id,start_date,end_date
Blank Segment 1,0,Prior,PY,segment1_id,year_start_date,year_end_date
Blank Segment 1,0,Subsequent,SP,segment1_id,start_date,end_date
Blank Segment 2,0,Current,CY,segment2_id,year_start_date,year_end_date
Blank Segment 2,0,Interim Period,IP,segment2_id,start_date,end_date
Blank Segment 2,0,Prior,PY,segment2_id,year_start_date,year_end_date
Blank Segment 2,0,Subsequent,SP,segment2_id,start_date,end_date
Blank Source,0,Current,CY,source_id,year_start_date,year_end_date
Blank Source,0,Interim Period,IP,source_id,start_date,end_date
Blank Source,0,Prior,PY,source_id,year_start_date,year_end_date
Blank Source,0,Subsequent,SP,source_id,start_date,end_date
