user_listing_id,bu_id,engagement_id,client_user_id,first_name,last_name,full_name,department,title,role_resp,sys_manual_ind,active_ind,active_ind_change_date_id,created_by_id,created_date_id,created_time_id,last_modified_by_id,last_modified_date_id,ver_start_date_id,ver_end_date_id,ver_desc
0,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,EY_EMPTY,EY_EMPTY,EY_EMPTY,EY_EMPTY,NULL,NULL,NULL,S,N,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_DEF_VALUE_ETL_STAGE
1,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,User Name120,First Name120,Last Name120,Full Name120,Department120,NULL,NULL,NULL,A,19000101,0,19000101,0,0,19000101,20141115,NULL,20141115
2,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,,,EY_UNKNOWN (),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
3,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ANNE,,,EY_UNKNOWN (ANNE),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
4,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,BALAN,,,EY_UNKNOWN (BALAN),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
5,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,BREVEMAR,,,EY_UNKNOWN (BREVEMAR),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
6,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,BROEKMAR,,,EY_UNKNOWN (BROEKMAR),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
7,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,C5038235,,,EY_UNKNOWN (C5038235),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
8,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,CASLIN,,,EY_UNKNOWN (CASLIN),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
9,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,CHANDRAN,,,EY_UNKNOWN (CHANDRAN),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
10,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,CRISTACHE,,,EY_UNKNOWN (CRISTACHE),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
11,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,CTAC2,,,EY_UNKNOWN (CTAC2),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
12,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,CTAC3,,,EY_UNKNOWN (CTAC3),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
13,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,ERIK,,,EY_UNKNOWN (ERIK),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
14,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,FAIRUZ,,,EY_UNKNOWN (FAIRUZ),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
15,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,HAEXING,,,EY_UNKNOWN (HAEXING),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
16,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,HAGENBAS,,,EY_UNKNOWN (HAGENBAS),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
17,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,HAN,,,EY_UNKNOWN (HAN),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
18,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,HORATIU,,,EY_UNKNOWN (HORATIU),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
19,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,INA,,,EY_UNKNOWN (INA),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
20,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,JAN ERIK,,,EY_UNKNOWN (JAN ERIK),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
21,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,JOEY,,,EY_UNKNOWN (JOEY),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
22,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,JOKE,,,EY_UNKNOWN (JOKE),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
23,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,LINDA,,,EY_UNKNOWN (LINDA),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
24,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,MAXINE,,,EY_UNKNOWN (MAXINE),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
25,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,MICHIEL,,,EY_UNKNOWN (MICHIEL),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
26,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,MIOARA,,,EY_UNKNOWN (MIOARA),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
27,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,RTRFINANCE,,,EY_UNKNOWN (RTRFINANCE),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
28,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,SANDRA,,,EY_UNKNOWN (SANDRA),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
29,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,SAP,,,EY_UNKNOWN (SAP),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
30,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,SIETSKE,,,EY_UNKNOWN (SIETSKE),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
31,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,SINI,,,EY_UNKNOWN (SINI),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
32,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,TEKLEMAR,,,EY_UNKNOWN (TEKLEMAR),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
33,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,TRACYWONG,,,EY_UNKNOWN (TRACYWONG),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
34,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,WENDY,,,EY_UNKNOWN (WENDY),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
35,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,WPRUIJ,,,EY_UNKNOWN (WPRUIJ),,,,U,A,19000101,0,19000101,0,0,19000101,20141115,NULL,EY_MISSING_VALUE_ETL_STAGE
