yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,name,park,attendance
1871,NA,BS1,BNA,,3,31,,20,10,,,N,,Boston Red Stockings,South End Grounds I,
1871,NA,CH1,CNA,,2,28,,19,9,,,N,,Chicago White Stockings,Union Base-Ball Grounds,
1871,NA,CL1,CFC,,8,29,,10,19,,,N,,Cleveland Forest Citys,National Association Grounds,
1871,NA,FW1,KEK,,7,19,,7,12,,,N,,Fort Wayne Kekiongas,Hamilton Field,
1871,NA,NY2,NNA,,5,33,,16,17,,,N,,New York Mutuals,Union Grounds (Brooklyn),
1871,NA,PH1,PNA,,1,28,,21,7,,,Y,,Philadelphia Athletics,Jefferson Street Grounds,
1871,NA,RC1,ROK,,9,25,,4,21,,,N,,Rockford Forest Citys,Agricultural Society Fair Grounds,
1871,NA,TRO,TRO,,6,29,,13,15,,,N,,Troy Haymakers,Haymakers' Grounds,
1871,NA,WS3,OLY,,4,32,,15,15,,,N,,Washington Olympics,Olympics Grounds,
1872,NA,BL1,BLC,,2,58,,35,19,,,N,,Baltimore Canaries,Newington Park,
1872,NA,BR1,ECK,,9,29,,3,26,,,N,,Brooklyn Eckfords,Union Grounds,
1872,NA,BR2,BRA,,6,37,,9,28,,,N,,Brooklyn Atlantics,Capitoline Grounds,
1872,NA,BS1,BNA,,1,48,,39,8,,,Y,,Boston Red Stockings,South End Grounds I,
1872,NA,CL1,CFC,,7,22,,6,16,,,N,,Cleveland Forest Citys,National Association Grounds,
1872,NA,MID,MAN,,8,24,,5,19,,,N,,Middletown Mansfields,Mansfield Club Grounds,
1872,NA,NY2,NNA,,3,56,,34,20,,,N,,New York Mutuals,Union Grounds (Brooklyn),
1872,NA,PH1,PNA,,4,47,,30,14,,,N,,Philadelphia Athletics,Jefferson Street Grounds,
1872,NA,TRO,TRO,,5,25,,15,10,,,N,,Troy Haymakers,Haymakers' Grounds,
1872,NA,WS3,OLY,,10,9,,2,7,,,N,,Washington Olympics,Olympics Grounds,
1872,NA,WS4,NAT,,11,11,,0,11,,,N,,Washington Nationals,Nationals Grounds,
1873,NA,BL1,BLC,,3,57,,34,22,,,N,,Baltimore Canaries,Newington Park,
1873,NA,BL4,MAR,,9,6,,0,6,,,N,,Baltimore Marylands,Newington Park,
1873,NA,BR2,BRA,,6,55,,17,37,,,N,,Brooklyn Atlantics,Union Grounds,
1873,NA,BS1,BNA,,1,60,,43,16,,,Y,,Boston Red Stockings,South End Grounds I,
1873,NA,ELI,RES,,8,23,,2,21,,,N,,Elizabeth Resolutes,Waverly Fairgrounds,
1873,NA,NY2,NNA,,4,53,,29,24,,,N,,New York Mutuals,Union Grounds (Brooklyn),
1873,NA,PH1,PNA,,5,52,,28,23,,,N,,Philadelphia Athletics,Jefferson Street Grounds,
1873,NA,PH2,PWS,,2,53,,36,17,,,N,,Philadelphia Whites,Jefferson Street Grounds,
1873,NA,WS5,WBL,,7,39,,8,31,,,N,,Washington Blue Legs,Olympics Grounds,
1874,NA,BL1,BLC,,8,47,,9,38,,,N,,Baltimore Canaries,Newington Park,
1874,NA,BR2,BRA,,6,56,,22,33,,,N,,Brooklyn Atlantics,Union Grounds,
1874,NA,BS1,BNA,,1,71,,52,18,,,Y,,Boston Red Stockings,South End Grounds I,
1874,NA,CH2,CNA,,5,59,,28,31,,,N,,Chicago White Stockings,23rd Street Grounds,
1874,NA,HR1,HNA,,7,53,,16,37,,,N,,Hartford Dark Blues,Hartford Ball Club Grounds,
1874,NA,NY2,NNA,,2,65,,42,23,,,N,,New York Mutuals,Union Grounds (Brooklyn),
1874,NA,PH1,PNA,,3,55,,33,22,,,N,,Philadelphia Athletics,Jefferson Street Grounds,
1874,NA,PH2,PWS,,4,58,,29,29,,,N,,Philadelphia Whites,Jefferson Street Grounds,
1875,NA,BR2,BRA,,11,44,,2,42,,,N,,Brooklyn Atlantics,Union Grounds,
1875,NA,BS1,BNA,,1,82,,71,8,,,Y,,Boston Red Stockings,South End Grounds I,
1875,NA,CH2,CNA,,6,69,,30,37,,,N,,Chicago White Stockings,23rd Street Grounds,
1875,NA,HR1,HNA,,3,86,,54,28,,,N,,Hartford Dark Blues,Hartford Ball Club Grounds,
1875,NA,KEO,WES,,13,13,,1,12,,,N,,Keokuk Westerns,Perry Park,
1875,NA,NH1,NHV,,8,47,,7,40,,,N,,New Haven Elm Citys,Hamilton Park,
1875,NA,NY2,NNA,,6,71,,30,38,,,N,,New York Mutuals,Union Grounds (Brooklyn),
1875,NA,PH1,PNA,,2,77,,53,20,,,N,,Philadelphia Athletics,Jefferson Street Grounds,
1875,NA,PH2,PWS,,5,70,,37,31,,,N,,Philadelphia Whites,Jefferson Street Grounds,
1875,NA,PH3,CEN,,11,14,,2,12,,,N,,Philadelphia Centennials,Centennial Grounds,
1875,NA,SL1,SLR,,10,19,,4,15,,,N,,St. Louis Red Stockings,Red Stocking Baseball Park,
1875,NA,SL2,SNA,,4,70,,39,29,,,N,,St. Louis Brown Stockings,Grand Avenue Park,
1875,NA,WS6,WNT,,9,28,,5,23,,,N,,Washington Nationals,Olympics Grounds,
1876,NL,BSN,ATL,,4,70,,39,31,,,N,,Boston Red Caps,South End Grounds I,
1876,NL,CHN,CHC,,1,66,,52,14,,,Y,,Chicago White Stockings,23rd Street Grounds,
1876,NL,CN1,CNR,,8,65,,9,56,,,N,,Cincinnati Reds,Avenue Grounds,
1876,NL,HAR,HAR,,2,69,,47,21,,,N,,Hartford Dark Blues,Hartford Ball Club Grounds,
1876,NL,LS1,LGR,,5,69,,30,36,,,N,,Louisville Grays,Louisville Baseball Park,
1876,NL,NY3,NYU,,6,57,,21,35,,,N,,New York Mutuals,Union Grounds (Brooklyn),
1876,NL,PHN,ATH,,7,60,,14,45,,,N,,Philadelphia Athletics,Jefferson Street Grounds,
1876,NL,SL3,SBS,,3,64,,45,19,,,N,,St. Louis Brown Stockings,Sportsman's Park I,
1877,NL,BSN,ATL,,1,61,,42,18,,,Y,,Boston Red Caps,South End Grounds I,
1877,NL,CHN,CHC,,5,60,,26,33,,,N,,Chicago White Stockings,23rd Street Grounds,
1877,NL,CN1,CNR,,6,58,,15,42,,,N,,Cincinnati Reds,Avenue Grounds,
1877,NL,HAR,HAR,,3,60,,31,27,,,N,,Hartford Dark Blues,Union Grounds (Brooklyn),
1877,NL,LS1,LGR,,2,61,,35,25,,,N,,Louisville Grays,Louisville Baseball Park,
1877,NL,SL3,SBS,,4,60,,28,32,,,N,,St. Louis Brown Stockings,Sportsman's Park I,
1878,NL,BSN,ATL,,1,60,,41,19,,,Y,,Boston Red Caps,South End Grounds I,
1878,NL,CHN,CHC,,4,61,,30,30,,,N,,Chicago White Stockings,Lake Front Park I,
1878,NL,CN1,CNR,,2,61,,37,23,,,N,,Cincinnati Reds,Avenue Grounds,
1878,NL,IN1,IBL,,5,63,,24,36,,,N,,Indianapolis Blues,South Street Park,
1878,NL,ML2,MLG,,6,61,,15,45,,,N,,Milwaukee Grays,Eclipse Park II,
1878,NL,PRO,PRO,,3,62,,33,27,,,N,,Providence Grays,Messer Street Grounds,
1879,NL,BFN,BUF,,3,79,,46,32,,,N,,Buffalo Bisons,Riverside Park,
1879,NL,BSN,ATL,,2,84,,54,30,,,N,,Boston Red Caps,South End Grounds I,
1879,NL,CHN,CHC,,4,83,,46,33,,,N,,Chicago White Stockings,Lake Front Park I,
1879,NL,CL2,CBL,,6,82,,27,55,,,N,,Cleveland Blues,Kennard Street Park,
1879,NL,CN1,CNR,,5,81,,43,37,,,N,,Cincinnati Reds,Avenue Grounds,
1879,NL,PRO,PRO,,1,85,,59,25,,,Y,,Providence Grays,Messer Street Grounds,
1879,NL,SR1,SYR,,7,71,,22,48,,,N,,Syracuse Stars,Newell Park,
1879,NL,TRN,TRT,,8,77,,19,56,,,N,,Troy Trojans,Putnam Grounds,
1880,NL,BFN,BUF,,7,85,,24,58,,,N,,Buffalo Bisons,Riverside Park,
1880,NL,BSN,ATL,,6,86,,40,44,,,N,,Boston Red Caps,South End Grounds I,
1880,NL,CHN,CHC,,1,86,,67,17,,,Y,,Chicago White Stockings,Lake Front Park I,
1880,NL,CL2,CBL,,3,85,,47,37,,,N,,Cleveland Blues,Kennard Street Park,
1880,NL,CN1,CNR,,8,83,,21,59,,,N,,Cincinnati Reds,Bank Street Grounds,
1880,NL,PRO,PRO,,2,87,,52,32,,,N,,Providence Grays,Messer Street Grounds,
1880,NL,TRN,TRT,,4,83,,41,42,,,N,,Troy Trojans,Haymakers' Grounds,
1880,NL,WOR,WOR,,5,85,,40,43,,,N,,Worcester Ruby Legs,Worcester Driving Park Grounds,
1881,NL,BFN,BUF,,3,83,,45,38,,,N,,Buffalo Bisons,Riverside Park,
1881,NL,BSN,ATL,,6,83,,38,45,,,N,,Boston Red Caps,South End Grounds I,
1881,NL,CHN,CHC,,1,84,,56,28,,,Y,,Chicago White Stockings,Lake Front Park I,
1881,NL,CL2,CBL,,7,85,,36,48,,,N,,Cleveland Blues,Kennard Street Park,
1881,NL,DTN,DTN,,4,84,,41,43,,,N,,Detroit Wolverines,Recreation Park,
1881,NL,PRO,PRO,,2,85,,47,37,,,N,,Providence Grays,Messer Street Grounds,
1881,NL,TRN,TRT,,5,85,,39,45,,,N,,Troy Trojans,Haymakers' Grounds,
1881,NL,WOR,WOR,,8,83,,32,50,,,N,,Worcester Ruby Legs,Worcester Driving Park Grounds,
1882,NL,BFN,BUF,,3,84,,45,39,,,N,,Buffalo Bisons,Riverside Park,
1882,AA,BL2,BLO,,6,74,,19,54,,,N,,Baltimore Orioles,Newington Park,
1882,NL,BSN,ATL,,3,85,,45,39,,,N,,Boston Red Caps,South End Grounds I,
1882,NL,CHN,CHC,,1,84,,55,29,,,Y,,Chicago White Stockings,Lake Front Park I/Lake Front Park II,
1882,NL,CL2,CBL,,5,84,,42,40,,,N,,Cleveland Blues,Kennard Street Park,
1882,AA,CN2,CIN,,1,80,,55,25,,,Y,,Cincinnati Red Stockings,Bank Street Grounds,
