bu_id,bu_cd,bu_desc,bu_ref,bu_group,ver_start_date_id,ver_end_date_id,ver_desc
1,1,Name of Company Code or C,0001 - Name of Company Code or C,EY empty,20141115,NULL,20141115
2,5,Name of Company Code or C,0005 - Name of Company Code or C,Nederland,20141115,NULL,20141115
3,6,Name of Company Code or C,0006 - Name of Company Code or C,Nederland,20141115,NULL,20141115
4,10,Name of Company Code or C,0010 - Name of Company Code or C,Nederland,20141115,NULL,20141115
5,11,Name of Company Code or C,0011 - Name of Company Code or C,Nederland,20141115,NULL,20141115
6,20,Name of Company Code or C,0020 - Name of Company Code or C,Maleisi�,20141115,NULL,20141115
7,25,Name of Company Code or C,0025 - Name of Company Code or C,Maleisi�,20141115,NULL,20141115
8,30,Name of Company Code or C,0030 - Name of Company Code or C,Roemeni�,20141115,NULL,20141115
9,40,Name of Company Code or C,0040 - Name of Company Code or C,Maleisi�,20141115,NULL,20141115
10,50,Name of Company Code or C,0050 - Name of Company Code or C,Nederland,20141115,NULL,20141115
11,AR01,Name of Company Code or C,AR01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
12,AT01,Name of Company Code or C,AT01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
13,AU01,Name of Company Code or C,AU01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
14,BE01,Name of Company Code or C,BE01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
15,BR01,Name of Company Code or C,BR01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
16,CA01,Name of Company Code or C,CA01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
17,CH01,Name of Company Code or C,CH01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
18,CN01,Name of Company Code or C,CN01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
19,COPY,Name of Company Code or C,COPY - Name of Company Code or C,EY empty,20141115,NULL,20141115
20,CZ01,Name of Company Code or C,CZ01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
21,DE01,Name of Company Code or C,DE01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
22,DE02,Name of Company Code or C,DE02 - Name of Company Code or C,EY empty,20141115,NULL,20141115
23,DK01,Name of Company Code or C,DK01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
24,ES01,Name of Company Code or C,ES01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
25,FI01,Name of Company Code or C,FI01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
26,FR01,Name of Company Code or C,FR01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
27,GB01,Name of Company Code or C,GB01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
28,HK01,Name of Company Code or C,HK01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
29,HU01,Name of Company Code or C,HU01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
30,ID01,Name of Company Code or C,ID01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
31,IE01,Name of Company Code or C,IE01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
32,IT01,Name of Company Code or C,IT01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
33,JP01,Name of Company Code or C,JP01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
34,LU01,Name of Company Code or C,LU01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
35,MX01,Name of Company Code or C,MX01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
36,MY01,Name of Company Code or C,MY01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
37,NL01,Name of Company Code or C,NL01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
38,NO01,Name of Company Code or C,NO01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
39,NZ01,Name of Company Code or C,NZ01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
40,PT01,Name of Company Code or C,PT01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
41,RO01,Name of Company Code or C,RO01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
42,RU01,Name of Company Code or C,RU01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
43,SE01,Name of Company Code or C,SE01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
44,SG01,Name of Company Code or C,SG01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
45,TH01,Name of Company Code or C,TH01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
46,TW01,Name of Company Code or C,TW01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
47,US01,Name of Company Code or C,US01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
48,ZA01,Name of Company Code or C,ZA01 - Name of Company Code or C,EY empty,20141115,NULL,20141115
