period_id,bu_id,fiscal_period_cd,fiscal_period_desc,fiscal_period_start,fiscal_period_end,fiscal_quarter_cd,fiscal_quarter_desc,fiscal_quarter_start,fiscal_quarter_end,fiscal_year_cd,fiscal_year_desc,fiscal_year_start,fiscal_year_end,adjustment_period,engagement_id,fiscal_period_seq,ver_start_date_id,ver_end_date_id,ver_desc
1,1,2006-001,2006-001,20060101,20060131,2006-Q1,2006-Q1,20060101,20060331,2006,2006,20060101,20061231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,1,20141115,NULL,20141115
2,1,2006-002,2006-002,20060201,20060228,2006-Q1,2006-Q1,20060101,20060331,2006,2006,20060101,20061231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,2,20141115,NULL,20141115
3,1,2006-003,2006-003,20060301,20060331,2006-Q1,2006-Q1,20060101,20060331,2006,2006,20060101,20061231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,3,20141115,NULL,20141115
4,1,2006-004,2006-004,20060401,20060430,2006-Q2,2006-Q2,20060401,20060630,2006,2006,20060101,20061231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,4,20141115,NULL,20141115
5,1,2006-005,2006-005,20060501,20060531,2006-Q2,2006-Q2,20060401,20060630,2006,2006,20060101,20061231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,5,20141115,NULL,20141115
6,1,2006-006,2006-006,20060601,20060630,2006-Q2,2006-Q2,20060401,20060630,2006,2006,20060101,20061231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,6,20141115,NULL,20141115
7,1,2006-007,2006-007,20060701,20060731,2006-Q3,2006-Q3,20060701,20060930,2006,2006,20060101,20061231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,7,20141115,NULL,20141115
8,1,2006-008,2006-008,20060801,20060831,2006-Q3,2006-Q3,20060701,20060930,2006,2006,20060101,20061231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,8,20141115,NULL,20141115
9,1,2006-009,2006-009,20060901,20060930,2006-Q3,2006-Q3,20060701,20060930,2006,2006,20060101,20061231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,9,20141115,NULL,20141115
10,1,2006-010,2006-010,20061001,20061031,2006-Q4,2006-Q4,20061001,20061231,2006,2006,20060101,20061231,N,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,10,20141115,NULL,20141115
