Source_Id,source_cd,source_desc,erp_subledger_module,bus_process_major,bus_process_minor,source_ref,sys_manual_ind,ver_start_date_id,ver_end_date_id,ver_desc,ey_source_group
1,AA,DescriptionAA,NULL,NULL,NULL,AA - AA,NULL,20141115,NULL,20141115,All
2,AB,DescriptionAB,NULL,NULL,NULL,AB - AB,NULL,20141115,NULL,20141115,Memo 1
3,AF,DescriptionAF,NULL,NULL,NULL,AF - AF,NULL,20141115,NULL,20141115,All
4,AN,DescriptionAN,NULL,NULL,NULL,AN - AN,NULL,20141115,NULL,20141115,All
5,DA,DescriptionDA,NULL,NULL,NULL,DA - DA,NULL,20141115,NULL,20141115,OTC
6,DG,DescriptionDG,NULL,NULL,NULL,DG - DG,NULL,20141115,NULL,20141115,Debiteur - creditnota
7,DR,DescriptionDR,NULL,NULL,NULL,DR - DR,NULL,20141115,NULL,20141115,OTC
8,DZ,DescriptionDZ,NULL,NULL,NULL,DZ - DZ,NULL,20141115,NULL,20141115,OTC
9,EX,DescriptionEX,NULL,NULL,NULL,EX - EX,NULL,20141115,NULL,20141115,All
10,KA,DescriptionKA,NULL,NULL,NULL,KA - KA,NULL,20141115,NULL,20141115,PTP
11,KG,DescriptionKG,NULL,NULL,NULL,KG - KG,NULL,20141115,NULL,20141115,Crediteur - creditnota
12,KN,DescriptionKN,NULL,NULL,NULL,KN - KN,NULL,20141115,NULL,20141115,PTP
13,KP,DescriptionKP,NULL,NULL,NULL,KP - KP,NULL,20141115,NULL,20141115,PTP
14,KR,DescriptionKR,NULL,NULL,NULL,KR - KR,NULL,20141115,NULL,20141115,PTP
15,KZ,DescriptionKZ,NULL,NULL,NULL,KZ - KZ,NULL,20141115,NULL,20141115,PTP
16,ML,DescriptionML,NULL,NULL,NULL,ML - ML,NULL,20141115,NULL,20141115,All
17,PR,DescriptionPR,NULL,NULL,NULL,PR - PR,NULL,20141115,NULL,20141115,All
18,RA,DescriptionRA,NULL,NULL,NULL,RA - RA,NULL,20141115,NULL,20141115,OTC
19,RE,DescriptionRE,NULL,NULL,NULL,RE - RE,NULL,20141115,NULL,20141115,OTC
20,RN,DescriptionRN,NULL,NULL,NULL,RN - RN,NULL,20141115,NULL,20141115,OTC
21,RV,DescriptionRV,NULL,NULL,NULL,RV - RV,NULL,20141115,NULL,20141115,OTC
22,SA,DescriptionSA,NULL,NULL,NULL,SA - SA,NULL,20141115,NULL,20141115,Memo 2 
23,SB,DescriptionSB,NULL,NULL,NULL,SB - SB,NULL,20141115,NULL,20141115,Memo 3
24,SK,DescriptionSK,NULL,NULL,NULL,SK - SK,NULL,20141115,NULL,20141115,All
25,SU,DescriptionSU,NULL,NULL,NULL,SU - SU,NULL,20141115,NULL,20141115,All
26,TN,DescriptionTN,NULL,NULL,NULL,TN - TN,NULL,20141115,NULL,20141115,All
27,WA,DescriptionWA,NULL,NULL,NULL,WA - WA,NULL,20141115,NULL,20141115,OTC
28,WE,DescriptionWE,NULL,NULL,NULL,WE - WE,NULL,20141115,NULL,20141115,PTP
29,WI,DescriptionWI,NULL,NULL,NULL,WI - WI,NULL,20141115,NULL,20141115,All
30,WL,DescriptionWL,NULL,NULL,NULL,WL - WL,NULL,20141115,NULL,20141115,All
31,WN,DescriptionWN,NULL,NULL,NULL,WN - WN,NULL,20141115,NULL,20141115,All
32,WS,DescriptionWS,NULL,NULL,NULL,WS - WS,NULL,20141115,NULL,20141115,All
33,ZP,DescriptionZP,NULL,NULL,NULL,ZP - ZP,NULL,20141115,NULL,20141115,Betaling / ontvangst
34,ZR,DescriptionZR,NULL,NULL,NULL,ZR - ZR,NULL,20141115,NULL,20141115,Memo 4 
35,ZT,DescriptionZT,NULL,NULL,NULL,ZT - ZT,NULL,20141115,NULL,20141115,All
36,ZV,DescriptionZV,NULL,NULL,NULL,ZV - ZV,NULL,20141115,NULL,20141115,Betaling / ontvangst
