transaction_type_id,transaction_type_cd,bu_id,engagement_id,transaction_type_desc,transaction_type_group_desc,EY_transaction_type,entry_by_id,entry_date_id,entry_time_id,last_modified_by_id,last_modified_date_id,ver_start_date_id,ver_end_date_id,ver_desc,transaction_type_ref
0,EY_EMPTY,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,EY_EMPTY,EY_EMPTY,NULL,0,19000101,0,0,19000101,20141115,NULL,EY_DEF_VALUE_ETL_STAGE,EY_EMPTY - EY_EMPTY
1,0,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,,,0,19000101,0,0,19000101,20141115,NULL,20141115,00 - 
2,1,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Invoice,0,19000101,0,0,19000101,20141115,NULL,20141115,01 - 
3,2,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Credit Note,0,19000101,0,0,19000101,20141115,NULL,20141115,02 - 
4,3,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,03 - 
5,4,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,04 - 
6,5,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Cash,0,19000101,0,0,19000101,20141115,NULL,20141115,05 - 
7,6,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,06 - 
8,7,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Clearing,0,19000101,0,0,19000101,20141115,NULL,20141115,07 - 
9,8,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Clearing,0,19000101,0,0,19000101,20141115,NULL,20141115,08 - 
10,9,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Other,0,19000101,0,0,19000101,20141115,NULL,20141115,09 - 
11,11,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Credit Note,0,19000101,0,0,19000101,20141115,NULL,20141115,11 - 
12,12,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Invoice,0,19000101,0,0,19000101,20141115,NULL,20141115,12 - 
13,13,0,272EFC29-7E98-4DCD-8ABC-E2A9604368CC,,Customer Transactions,Invoice,0,19000101,0,0,19000101,20141115,NULL,20141115,13 - 
