coa_id,bu_id,source_id,segment1_id,segment2_id,user_listing_id,approved_by_id,year_flag,period_flag,ey_period,sys_man_ind,journal_type,functional_curr_cd,reporting_curr_cd,source_type,net_reporting_amount,net_reporting_amount_credit,net_reporting_amount_debit,net_functional_amount,net_functional_amount_credit,net_functional_amount_debit
1732,6,3,31,27,8,0,CY ,IP ,2014-002,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.57,1382.57,0
1732,6,3,31,27,8,0,CY ,IP ,2014-004,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.61,1382.61,0
1732,6,3,31,27,8,0,CY ,IP ,2014-005,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.57,1382.57,0
1732,6,3,31,27,8,0,PY ,PRP,2013-009,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.62,1382.62,0
1732,6,3,31,27,8,0,PY ,PRP,2013-010,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.61,1382.61,0
1732,6,3,31,27,8,0,PY ,PRP,2013-012,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.61,1382.61,0
1732,6,3,31,27,21,0,PY ,PIP,2013-003,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.61,1382.61,0
1732,6,3,31,27,21,0,PY ,PIP,2013-006,M,Manual,MYR,EY_NA,Activity,0,0,0,-1382.61,1382.61,0
1734,3,3,30,26,13,0,CY ,IP ,2014-003,M,Manual,EUR,EY_NA,Activity,0,0,0,-7433.86,7433.86,0
1734,3,3,30,26,13,0,PY ,PIP,2013-002,M,Manual,EUR,EY_NA,Activity,0,0,0,-7433.85,7433.85,0
1734,3,3,30,26,13,0,PY ,PIP,2013-004,M,Manual,EUR,EY_NA,Activity,0,0,0,-7433.84,7433.84,0
1734,3,3,30,26,13,0,PY ,PIP,2013-005,M,Manual,EUR,EY_NA,Activity,0,0,0,-7433.85,7433.85,0
1734,3,3,30,26,13,0,PY ,PRP,2013-011,M,Manual,EUR,EY_NA,Activity,0,0,0,-7433.85,7433.85,0
1745,5,3,30,26,13,0,PY ,PIP,2013-004,M,Manual,EUR,EY_NA,Activity,0,0,0,-191.44,191.44,0
1749,3,22,30,26,20,0,PY ,PIP,2013-003,M,Manual,EUR,EY_NA,Activity,0,0,0,-10000,10000,0
1749,3,22,30,26,20,0,PY ,PRP,2013-007,M,Manual,EUR,EY_NA,Activity,0,0,0,-10000,10000,0
1749,3,22,30,26,20,0,PY ,PRP,2013-012,M,Manual,EUR,EY_NA,Activity,0,0,0,-10000,10000,0
1751,8,22,32,28,27,0,CY ,IP ,2014-006,M,Manual,RON,EY_NA,Activity,0,0,0,-197.81,197.81,0
1753,8,33,32,28,27,0,CY ,IP ,2014-005,M,Manual,RON,EY_NA,Activity,0,0,0,-52652.32,52652.32,0
1753,8,33,32,28,27,0,PY ,PIP,2013-002,M,Manual,RON,EY_NA,Activity,0,0,0,-23283.51,23283.51,0
1753,8,33,32,28,27,0,PY ,PIP,2013-004,M,Manual,RON,EY_NA,Activity,0,0,0,-24048.53,24048.53,0
1753,8,33,32,28,27,0,PY ,PIP,2013-005,M,Manual,RON,EY_NA,Activity,0,0,0,-27748.53,27748.53,0
1753,8,33,32,28,27,0,PY ,PRP,2013-011,M,Manual,RON,EY_NA,Activity,0,0,0,34063.37,25936.63,60000
1753,8,34,32,28,27,0,CY ,IP ,2014-003,M,Manual,RON,EY_NA,Activity,0,0,0,40000,0,40000
1753,8,34,32,28,27,0,CY ,IP ,2014-006,M,Manual,RON,EY_NA,Activity,0,0,0,51000,0,51000
1753,8,34,32,28,27,0,PY ,PRP,2013-008,M,Manual,RON,EY_NA,Activity,0,0,0,25000,0,25000
1753,8,36,32,28,27,0,PY ,PIP,2013-004,M,Manual,RON,EY_NA,Activity,0,0,0,-3500,3500,0
1754,5,22,30,26,13,0,PY ,PIP,2013-001,M,Manual,EUR,EY_NA,Activity,0,0,0,-3539.24,3539.24,0
1754,5,22,30,26,20,0,PY ,PIP,2013-004,M,Manual,EUR,EY_NA,Activity,0,0,0,16200,0,16200
1754,5,33,30,26,20,0,CY ,IP ,2014-004,M,Manual,EUR,EY_NA,Activity,0,0,0,-8.41,8.41,0
1754,5,33,30,26,20,0,PY ,PRP,2013-007,M,Manual,EUR,EY_NA,Activity,0,0,0,-5.84,5.84,0
1754,5,33,30,26,20,0,PY ,PRP,2013-008,M,Manual,EUR,EY_NA,Activity,0,0,0,49996.78,3.22,50000
1754,5,33,30,26,20,0,PY ,PRP,2013-012,M,Manual,EUR,EY_NA,Activity,0,0,0,2984.95,15.05,3000
